ID;Code;Name;Coordinates;Description;Zone ID;URL;Location Type;Parent Station ID;Timezone;Wheelchair Boarding
ARCOM@BIE020;;Clos Bosquin;49.24065, -0.326868;;;;1;;;2
COM_laen02;;Laennec;49.204815, -0.347357;;;;1;;;2
COM_libt21;;Liberté;49.161068, -0.342829;;;;1;;;2
COM_oupb01;;Petit Bonheur;49.273876, -0.260504;;;;1;;;2
COM_mifa01;;Michel Farré;49.185635, -0.30324;;;;1;;;2
COM_baud02;;Baudry;49.285553, -0.31773;;;;1;;;2
COM_bepa02;;Bernard Palissy;49.18438, -0.392609;;;;1;;;2
ARCOM@C051;;Harris;49.20465, -0.351553;;;;1;;;2
COM_stou;;Saint-Ouen;49.173862, -0.377981;;;;1;;;2
COM_epro01_1;;Germes de Blé;49.221, -0.36756;;;;1;;;2
COM_berr01;;Berry;49.192616, -0.400122;;;;1;;;2
COM_rlec01_1;;Cayrière;49.2548, -0.377324;;;;1;;;2
COM_stni01;;Saint-Nicolas;49.184258, -0.375231;;;;1;;;2
COM_gira01_1;;Girafe;49.206272, -0.368172;;;;1;;;2
COM_euva02;;Eugène Varlin;49.200382, -0.301442;;;;1;;;2
COM_rdim02;;Rue de la Dîme;49.233833, -0.520547;;;;1;;;2
COM_vice02_1;;Cerisiers;49.23859, -0.41163;;;;1;;;2
COM_lmbl02;;Bas Lion;49.30215, -0.318738;;;;1;;;2
COM_rega01;;Egalité;49.207336, -0.295192;;;;1;;;2
COM_crre02;;Creux au Renard;49.170044, -0.402895;;;;1;;;2
COM_ciga02;;Espace Gardin;49.17967, -0.365788;;;;1;;;2
COM_rimb01;;Rimbaud;49.208977, -0.290385;;;;1;;;2
1150272;;Poilus d'Orient;49.18514, -0.382958;;;;1;;;2
COM_hmcr02;;Croix Rose;49.28129, -0.316987;;;;1;;;2
COM_avia01;;Aviation;49.163517, -0.349961;;;;1;;;2
COM_becq02;;Becquet;49.278896, -0.298238;;;;1;;;2
COM_catt02_1;;Cattehoulte;49.164894, -0.332843;;;;1;;;2
COM_boul01_1;;Aiguillon;49.17158, -0.414972;;;;1;;;2
COM_grpl01;;Grande Rue;49.18061, -0.306943;;;;1;;;2
COM_cipa01;;Cimetiere Parc;49.196278, -0.404979;;;;1;;;2
COM_lmar01;;Les Marronniers;49.14794, -0.424328;;;;1;;;2
COM_rleb01_1;;Rue de Lebisey;49.192844, -0.357202;;;;1;;;2
COM_rocr01;;Le Rocreuil;49.156303, -0.434038;;;;1;;;2
COM_masl01_1;;Maslière;49.171436, -0.424749;;;;1;;;2
COM_lbru01;;La Bruyère;49.143536, -0.493068;;;;1;;;2
COM_stceg01;;Saint-Contest Eglise;49.214172, -0.402034;;;;1;;;2
COM_sj02;;Saint-Jean Eglise;49.18068, -0.358421;;;;1;;;2
COM_chal02_1;;Charlemagne;49.172943, -0.399563;;;;1;;;2
COM_parp01_1;;Pasteur;49.173943, -0.335719;;;;1;;;2
1150743;;Centre Commercial Sud;49.160114, -0.29175;;;;1;;;2
COM_robl03;;Roche Blanche;49.13962, -0.356821;;;;1;;;2
COM_lbij11;;Bijude Commerces;49.22902, -0.372336;;;;1;;;2
COM_robo02;;Robert Bosch;49.166428, -0.313749;;;;1;;;2
COM_grcl02_1;;Grand Clos;49.21227, -0.405057;;;;1;;;2
COM_carr01;;Carrelettes;49.143463, -0.382506;;;;1;;;2
COM_pepi02;;Pépinières;49.240723, -0.403904;;;;1;;;2
COM_besi01;;Beau Site;49.145405, -0.380231;;;;1;;;2
